CRAWFORD ST OPP WYLIE AVE, strip
CENTRE AVE AT SHADYSIDE HOSPITAL, shadyside
32ND ST AT SPRING WAY, strip
BLVD OF ALLIES OPP HALKET ST, oakland
WOOD ST AT THIRD AVE FS, downtown
FIFTH AVE OPP BELLEFONTE ST, shadyside
CENTRE AVE AT CRAIG ST NS, oakland
SECOND AVE OPP BRADY ST, oakland
PENN AVE AT NEGLEY AVE, east_liberty
FIFTH AVE AT BIRMINGHAM BRIDGE, oakland
BLVD OF ALLIES AT JULIET ST, oakland
ELMORE ST AT ROSE ST FS, oakland
BEATTY ST AT PENN AVE NS, east_liberty
FORBES AVE AT BEECHWOOD BLVD, squill 
NEGLEY AVE AT WELLESLEY AVE NS, east_liberty
PENN AVE AT N ST CLAIR ST, east_liberty
GRANT ST AT MELLON BANK CTR, downtown
LIBERTY AVE AT 6TH ST, downtown
BEECHWOOD BLVD AT PHILLIPS AVE FS, squill
BENTLEY DR AT #2071, oakland
BEELER ST AT WILKINS AVE FS, squill
BAUM BLVD AT MOREWOOD AVE, shadyside
BEELER ST AT FORBES AVE FS, squill
MURRAY AVE AT BEACON ST NS, squill
WADSWORTH ST AT ROBINSON ST FS, oakland
FRANKSTOWN AVE AT PAULSON AVE, east_liberty
FIFTH AVE OPP GIST ST, oakland
ANDERSON ST AT LACOCK ST, downtown
FIFTH AVE AT WOOD ST, downtown
HIGHLAND AVE OPP RIPPEY ST FS, east_liberty
CENTRE AVE AT #5803, shadyside
FORBES AVE AT MURDOCH ST, squill
MURRAY AVE AT NORTHUMBERLAND ST, squill
FORBES AVE AT DALLAS AVE, squill 
CENTRE AVE AT WASHINGTON PL FS, strip
HAMILTON AVE AT PUTNAM ST, east_liberty
GRANT ST AT 7TH AVE FS, strip
STANTON AVE AT HETH'S AVE, east_liberty
NEGLEY AVE AT ELLSWORTH AVE, shadyside
NEGLEY AVE OPP CORAL ST, east_liberty
LARIMER AVE AT SHETLAND ST, east_liberty
CENTRE AVE AT KIRKPATRICK ST, oakland
SIXTH AVE AT CENTRE AVE, strip
BAUM BLVD AT ENFIELD ST, oakland
LIBERTY AVE AT GATEWAY #4, downtown
EAST LIBERTY BLVD AT CENTRE AVE, east_liberty
PENN AVE AT FIFTH AVE, east_liberty
FIFTH AVE OPP BELLEFONTE ST, shadyside
FIFTH AVE AT NEGLEY AVE, shadyside
BEDFORD AVE OPP ERIN ST, strip 
NEGLEY AVE AT ELLSWORTH AVE, shadyside
PENN AVE AT N ST CLAIR ST, east_liberty
LIBERTY AVE AT 30TH ST, strip
BRYN MAWR RD AT IOWA ST, oakland
ELLSWORTH AVE AT SUMMERLEA ST, shadyside
